

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   383.00000 -0.244926E+01  0.000000E+00 -0.250138E+01  0.000000E+00 -0.109227E-01    -34.875      0.000    -95.741      42
   383.50000 -0.247586E+01  0.000000E+00 -0.252798E+01  0.000000E+00 -0.109369E-01    -34.788      0.000    -95.741      43
   401.50000 -0.245784E+01  0.000000E+00 -0.250996E+01  0.000000E+00 -0.114502E-01    -49.330      0.000    -95.741      44
   402.00000 -0.251154E+01  0.000000E+00 -0.256366E+01  0.000000E+00 -0.114645E-01    -36.148      0.000    -95.741      45
   727.50000 -0.218560E+01  0.000000E+00 -0.226335E+01  0.000000E+00 -0.397591E-01 -50000.000      0.000    -64.081      46
   728.00000 -0.219188E+01  0.000000E+00 -0.226963E+01  0.000000E+00 -0.400177E-01    -90.469      0.000    -63.993      47
   728.50000 -0.221170E+01  0.000000E+00 -0.228946E+01  0.000000E+00 -0.402778E-01    -56.286      0.000    -63.905      48
   729.00000 -0.223830E+01  0.000000E+00 -0.231606E+01  0.000000E+00 -0.405392E-01    -46.806      0.000    -63.818      49
   734.00000 -0.223330E+01  0.000000E+00 -0.231105E+01  0.000000E+00 -0.432310E-01    -76.100      0.000    -62.968      50
   735.00000 -0.224585E+01  0.000000E+00 -0.232360E+01  0.000000E+00 -0.437857E-01    -57.737      0.000    -62.803      51
   739.50000 -0.224134E+01  0.000000E+00 -0.231910E+01  0.000000E+00 -0.463477E-01    -75.432      0.000    -62.080      52
   740.00000 -0.225439E+01  0.000000E+00 -0.233215E+01  0.000000E+00 -0.466388E-01    -54.394      0.000    -62.002      53
   740.50000 -0.228099E+01  0.000000E+00 -0.235875E+01  0.000000E+00 -0.469312E-01    -44.908      0.000    -61.924      54
   741.50000 -0.229355E+01  0.000000E+00 -0.237130E+01  0.000000E+00 -0.475198E-01    -49.490      0.000    -61.770      55
   744.00000 -0.229104E+01  0.000000E+00 -0.236879E+01  0.000000E+00 -0.490132E-01    -59.121      0.000    -61.390      56
end
