Pcp_File_Version=4
0
161 0 0 0        x  h  Mat  Lay  Beta  Axz  Bxz  Dxz  Temp Conc SConc
86  -42.5  0    1    1     0  1.0  1.0  1.0  20.0           
87  -43.0  0    1    1     0  1.0  1.0  1.0  20.0           
88  -43.5  0    1    1     0  1.0  1.0  1.0  20.0           
89  -44.0  0    1    1     0  1.0  1.0  1.0  20.0           
90  -44.5  0    1    1     0  1.0  1.0  1.0  20.0           
91  -45.0  0    1    1     0  1.0  1.0  1.0  20.0           
92  -45.5  0    1    1     0  1.0  1.0  1.0  20.0           
93  -46.0  0    1    1     0  1.0  1.0  1.0  20.0           
94  -46.5  0    1    1     0  1.0  1.0  1.0  20.0           
95  -47.0  0    1    1     0  1.0  1.0  1.0  20.0           
96  -47.5  0    1    1     0  1.0  1.0  1.0  20.0           
97  -48.0  0    1    1     0  1.0  1.0  1.0  20.0           
98  -48.5  0    1    1     0  1.0  1.0  1.0  20.0           
99  -49.0  0    1    1     0  1.0  1.0  1.0  20.0           
100 -49.5  0    1    1     0  1.0  1.0  1.0  20.0           
101 -50.0  0    1    1     0  1.0  1.0  1.0  20.0           
102 -50.5  0    1    1     0  1.0  1.0  1.0  20.0           
103 -51.0  0    1    1     0  1.0  1.0  1.0  20.0           
104 -51.5  0    1    1     0  1.0  1.0  1.0  20.0           
105 -52.0  0    1    1     0  1.0  1.0  1.0  20.0           
106 -52.5  0    1    1     0  1.0  1.0  1.0  20.0           
107 -53.0  0    1    1     0  1.0  1.0  1.0  20.0           
108 -53.5  0    1    1     0  1.0  1.0  1.0  20.0           
109 -54.0  0    1    1     0  1.0  1.0  1.0  20.0           
110 -54.5  0    1    1     0  1.0  1.0  1.0  20.0           
111 -55.0  0    1    1     0  1.0  1.0  1.0  20.0           
112 -55.5  0    1    1     0  1.0  1.0  1.0  20.0           
113 -56.0  0    1    1     0  1.0  1.0  1.0  20.0           
114 -56.5  0    1    1     0  1.0  1.0  1.0  20.0           
115 -57.0  0    1    1     0  1.0  1.0  1.0  20.0           
116 -57.5  0    1    1     0  1.0  1.0  1.0  20.0           
117 -58.0  0    1    1     0  1.0  1.0  1.0  20.0           
118 -58.5  0    1    1     0  1.0  1.0  1.0  20.0           
119 -59.0  0    1    1     0  1.0  1.0  1.0  20.0           
120 -59.5  0    1    1     0  1.0  1.0  1.0  20.0           
121 -60.0  0    1    1     0  1.0  1.0  1.0  20.0           
122 -60.5  0    1    1     0  1.0  1.0  1.0  20.0           
123 -61.0  0    1    1     0  1.0  1.0  1.0  20.0           
124 -61.5  0    1    1     0  1.0  1.0  1.0  20.0           
125 -62.0  0    1    1     0  1.0  1.0  1.0  20.0           
126 -62.5  0    1    1     0  1.0  1.0  1.0  20.0           
127 -63.0  0    1    1     0  1.0  1.0  1.0  20.0           
128 -63.5  0    1    1     0  1.0  1.0  1.0  20.0           
129 -64.0  0    1    1     0  1.0  1.0  1.0  20.0           
130 -64.5  0    1    1     0  1.0  1.0  1.0  20.0           
131 -65.0  0    1    1     0  1.0  1.0  1.0  20.0           
132 -65.5  0    1    1     0  1.0  1.0  1.0  20.0           
133 -66.0  0    1    1     0  1.0  1.0  1.0  20.0           
134 -66.5  0    1    1     0  1.0  1.0  1.0  20.0           
135 -67.0  0    1    1     0  1.0  1.0  1.0  20.0           
136 -67.5  0    1    1     0  1.0  1.0  1.0  20.0           
137 -68.0  0    1    1     0  1.0  1.0  1.0  20.0           
138 -68.5  0    1    1     0  1.0  1.0  1.0  20.0           
139 -69.0  0    1    1     0  1.0  1.0  1.0  20.0           
140 -69.5  0    1    1     0  1.0  1.0  1.0  20.0           
141 -70.0  0    1    1     0  1.0  1.0  1.0  20.0           
142 -70.5  0    1    1     0  1.0  1.0  1.0  20.0           
143 -71.0  0    1    1     0  1.0  1.0  1.0  20.0           
144 -71.5  0    1    1     0  1.0  1.0  1.0  20.0           
145 -72.0  0    1    1     0  1.0  1.0  1.0  20.0           
146 -72.5  0    1    1     0  1.0  1.0  1.0  20.0           
147 -73.0  0    1    1     0  1.0  1.0  1.0  20.0           
148 -73.5  0    1    1     0  1.0  1.0  1.0  20.0           
149 -74.0  0    1    1     0  1.0  1.0  1.0  20.0           
150 -74.5  0    1    1     0  1.0  1.0  1.0  20.0           
151 -75.0  0    1    1     0  1.0  1.0  1.0  20.0           
152 -75.5  0    1    1     0  1.0  1.0  1.0  20.0           
153 -76.0  0    1    1     0  1.0  1.0  1.0  20.0           
154 -76.5  0    1    1     0  1.0  1.0  1.0  20.0           
155 -77.0  0    1    1     0  1.0  1.0  1.0  20.0           
156 -77.5  0    1    1     0  1.0  1.0  1.0  20.0           
157 -78.0  0    1    1     0  1.0  1.0  1.0  20.0           
158 -78.5  0    1    1     0  1.0  1.0  1.0  20.0           
159 -79.0  0    1    1     0  1.0  1.0  1.0  20.0           
160 -79.5  0    1    1     0  1.0  1.0  1.0  20.0           
161 -80.0  0    1    1     0  1.0  1.0  1.0  20.0           
5
   5   25   45   75   105
